 श्रावकभूमिः (श्भ्_स्ह्: ५)	ཉན་ཐོས་ཀྱི་ནི་ས་ཞེས་བྱ་༎
 तेषु सर्वेण सर्वं सर्वथा न प्रेरयति । तेनोच्यतेचक्षुरिन्द्रियेण सम्वरमापद्यते ।	ཡིད་ཀྱི་དབང་པོ་གཏད་པར་བྱ་བ་མ་ཡིན་པ་དེ་དག་ལ་ནི་རྣམ་པ་ཐམས་ཅད་ཀྱི་ཐམས་ཅད་དུ་གཏོད་པར་མི་བྱེད་པས་ན་། དེའི་ཕྱིར་།
 तेनोच्यते यावन्मन इन्द्रियेण सम्वरमापद्यते ।	མིག་གི་དབང་པོས་ཀྱང་སྡོམ་པ་སྒྲུབ་པར་བྱེད་པ་དང་། ཡིད་ཀྱི་དབང་པོའི་བར་གྱིས་ཀྱང་སྡོམ་པ་སྒྲུབ་པར་བྱེད་པ་ཞེས་བྱ་སྟེ་།
 अयं तावद्विभंगो विस्तरेणेन्द्रियसम्वरस्य विज्ञेय[ः] ।	དེ་ནི་རེ་ཞིག་དབང་པོ་སྡོམ་པའི་རྣམ་པར་དབྱེ་བ་རྒྱས་པ་ཡིན་པར་ཤེས་པར་བྱའོ་༎
 समासार्थः । येन च संवृणोति, यतश्च संवृणोति,	དོན་མདོར་བསྡུ་བ་གང་ཞེ་ན་། དེ་ལ་དོན་མདོར་བསྡུ་བ་ནི་འདི་ཡིན་ཏེ་།
 यथा च संवृणोति, या चासौ संवृतिः । तत्सर्वमेकत्यमभिसंक्षिप्येन्द्रियसम्वर इत्युच्यते ।	གང་གིས་སྡོམ་པར་བྱེད་པ་དང་། གང་ཞིག་སྡོམ་པར་བྱེད་པ་དང་། གང་ལས་སྡོམ་པར་བྱེད་པ་དང་། ཇི་ལྟར་སྡོམ་པར་བྱེད་པ་དང་། སྡོམ་པ་དེ་གང་ཡིན་པ་དེ་དག་ཐམས་ཅད་གཅིག་ཏུ་བསྡུས་པ་ནི་དབང་པོ་སྡོམ་པ་ཞེས་བྱའོ་༎ 
 तत्र केन संवृणोति [।	དེ་ལ་གང་གིས་སྡོམ་པར་བྱེད་ཅེ་ན་།
 ] या आरक्षिता च स्मृतिस्तया संवृणोति [।]	དྲན་པ་ཀུན་ཏུ་བསྲུངས་པ་དང་། དྲན་པ་ལ་རྟག་འགྲུས་བྱེད་པ་བསྒོམས་པ་གང་ཡིན་པ་སྟེ་། དེས་སྡོམ་པར་བྱེད་དོ་༎
 किं संवृणोति [।	གང་ཞིག་སྡོམ་པར་བྱེད་ཅེ་ན་།
 ] चक्षुरिन्द्रियं संवृणोति । श्रोत्रघ्राणजिह् वाकायमनैन्द्रियं संवृणोति । इदं संवृणोति ।	མིག་གི་དབང་པོ་སྡོམ་པར་བྱེད་པ་དང་། རྣ་བ་དང་། སྣ་དང་། ལྕེ་དང་། ལུས་དང་། ཡིད་ཀྱི་དབང་པོ་སྡོམ་པ་སྟེ་དེ་སྡོམ་པར་བྱེད་དོ་༎
 कुतः संवृणोति ।	གང་ལས་སྡོམ་པར་བྱེད་ཅེ་ན་།
 प्रियरूपाप्रियरूपेभ्यो रूपेभ्यः शब्देभ्यो यावद्धर्मेभ्यो [अ]तः संवृणोति (संवृणोति) ।	གཟུགས་དང་། སྒྲ་དང་། ཆོས་ཀྱི་རང་བཞིན་སྡུག་པ་དང་མི་སྡུག་༄༢༩ཨ་༌་༎ པའི་བར་དག་ལས་ཏེ་། དེ་ལས་སྡོམ་པར་བྱེད་དོ་༎
 कथं संवृणोति ।	ཇི་ལྟར་སྡོམ་པར་བྱེད་ཅེ་ན་།
 न निमित्तग्राही भवति नानुव्यंजनग्राही (श्भ्_स्ह्: ७२) यतो [अ]धिकरणमेव पापका अकुशला धर्माश्चित्तमनुस्रवन्ति । तेषां सम्वराय प्रतिपद्यते ।	མཚན་མར་མི་འཛིན་ཅིང་མངོན་རྟགས་སུ་མི་འཛིན་པ་དང་། གཞི་གང་ཁོ་ན་ལས་དེའི་སེམས་ཀྱི་རྗེས་སུ་སྡིག་པ་མི་དགེ་བའི་ཆོས་རྣམས་ཟག་པར་འགྱུར་བ་དེ་དག་བསྡམ་པའི་ཕྱིར་སྒྲུབ་པར་བྱེད་པ་དང་། 
 रक्षतीन्द्रियमिन्द्रियेण । सम्वरमापद्यते ।	དབང་པོ་ཡང་སྲུང་བར་བྱེད་པ་དང་། དབང་པོས་ཀྱང་སྡོམ་པ་སྒྲུབ་པར་བྱེད་པ་ཡིན་ཏེ་།
 इत्येवं संवृणोति ।	དེ་ལྟར་སྡོམ་པར་བྱེད་དོ་༎
 का पुनः संवृतिः ।	སྡོམ་པ་དེ་གང་ཡིན་ཞེ་ན་།
 यतः स्मृत्यारक्षितमानसो भवति ।	དྲན་པས་ཡིད་ཀུན་ཏུ་བསྲུངས་པ་དང་། གནས་སྐབས་མཉམ་པ་ལས་འཇོག་པར་བྱེད་པ་གང་ཡིན་པ་སྟེ་།
 समावस्थावचारकः । इयमुच्यते संवृतिः ।	དེ་ནི་སྡོམ་པ་ཞས་བྱའོ་༎
 पुनरपरः समासार्थः [। ] यश्चसम्वरोपायः । यच्च सम्वरणीयम्वस्तु, या च संवृतिः ।	དོན་མདོར་བསྡུས་པ་གཞན་ཡང་སྡོམ་པའི་ཐབས་གང་ཡིན་པ་དང་། བསྡམ་པར་བྱ་བའི་གཞི་གང་ཡིན་པ་དང་། སྡོམ་པ་གང་ཡིན་པ་དེ་དག་གཅིག་ཏུ་བསྡུས་པ་ནི་།
 तदेकत्यमभिसंक्षिप्येन्द्रियसम्वर इत्युच्यते ।	དབང་པོ་སྡོམ་པ་ཞེས་བྱའོ་༎
 तत्र कतमः सम्वरोवा (संवरोपायः) [। ] यदाह आरक्षितस्मृतिर्भवति, निपकस्मृतिरिति चक्षुषा रूपाणि दृष्ट्वा न निमित्तग्राही भवति,	དེ་ལ་སྡོམ་པའི་ཐབས་གང་ཞེ་ན་༏་དྲན་པ་ཀུན་ཏུ་བསྲུངས་པ་དང་། དྲན་པ་ལ་རྟག་འགྲུས་བྱེད་པ་དང་མིག་གིས་གཟུགས་རྣམས་མཐོང་བ་ན་།
 नानुव्यंजनग्राही, यावन्मनसा धर्मान् विज्ञाय न निमित्तग्राही भवति,	མཚན་མར་མི་འཛིན་ཅིང་མངོན་རྟགས་སུ་མི་འཛིན་པ་དང་། ཡིད་ཀྱིས་ཆོས་རྣམས་རྣམ་པར་ཤེས་པ་ན་།
 नानुव्यंजनग्राही । यतो [अ]धिकरणमेव पापका अकुशला धर्माश्चित्तमनुस्रवन्ति । तेषां सम्वराय प्रतिपद्यते ।	མཚན་མར་མི་འཛིན་ཅིང་མངོན་རྟགས་སུ་མི་འཛིན་པའི་བར་དང་། གཞི་གང་ཁོ་ན་ལས་དེའི་སེམས་ཀྱི་རྗེས་སུ་སྡིག་པ་མི་དགེ་བའི་ཆོས་རྣམས་ཟག་པར་འགྱུར་བ་དེ་དག་བསྡམ་པའི་ཕྱིར་།
 रक्षतीन्द्रियमिन्द्रियेण सम्वरमापद्यते ।	སྒྲུབ་པར་བྱེད་པ་དང་། དབང་པོ་ཡང་སྲུང་བར་བྱེད་ལ་། དབང་པོས་ཀྱང་སྡོམ་པ་སྒྲུབ་པར་བྱེད་དོ་ཞེས་གང་གསུངས་པ་སྟེ་།
