 (वैद्य २५८)	༄༣༡༤བ་། །རྒྱ་གར་སྐད་དུ་།
 तदा रत्नोत्तमो नाम तथागतो ऽर्हन् सम्यक्संबुद्धो विद्याचरणसंपन्नः सुगतो लोकविदनुत्तरः पुरुषदम्यसारथिः शास्ता देवानां च बुद्धो भगवान् । तस्य मया पुरस्तादश्रूणि प्रमुक्तानि ।	བདེ་བར་གཤེགས་པ་། འཇིག་རྟེན་མཁྱེན་པ་། སྐྱེས་བུ་འདུལ་བའི་ཁ་ལོ་སྒྱུར་བ་། ༄༣༦༣ཨ་༌༎ བླ་ན་མེད་པ་ལྷ་དང་མི་རྣམས་ཀྱི་སྟོན་པ་སངས་རྒྱས་བཅོམ་ལྡན་འདས་དམར་པོའི་མཆོག་ཅེས་བྱ་བ་དེའི་སྤྱན་སྔར་ངས་མཆི་མ་ཕྱུང་བ་དང་། 
 तदा तेन तथागतेनार्हता सम्यक्संबुद्धेनाभिहितम् - मा कुलपुत्र एवं करुणकरूणान्यश्रूणि प्रमुञ्च ।	དེའི་ཚེ་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཀྱིས་། རིགས་ཀྱི་བུ་། དེ་ལྟར་སྙིང་རྗེ་རྗེ་ལྟར་མཆི་མ་མ་འབྱིན་པར་།
 गच्छ कुलपुत्र येन पद्मोत्तमो नाम लोकधातुः ।	རིགས་ཀྱི་བུ་།
 तत्र पद्मोत्तमो नाम तथागतो ऽर्हन् सम्यक्संबुद्धः । स इमां षडक्षरीं (वैद्य २९४) महाविद्यामनुजानाति ।	དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་པདམ་དམ་པ་ཞེས་བྱ་བ་བཞུགས་ཏེ་འཚོ་ཞིང་ཞེས་པ་དེ་ཡི་གེ་དྲུག་པའི་རིག་སྔགས་ཆེན་མོ་འདི་མཁྱེན་གྱི་སོང་ཞིག་ཅེས་བཀའ་སྩལ་ནས་།
 तस्य कुलपुत्र अहं रत्नोत्तमस्य तथागतस्यान्तिकात् प्रक्रान्तः ।	རིགས་ཀྱི་བུ་། དེ་བཞིན་གཤེགས་པ་པདམ་དམ་པའི་དྲུང་དུ་སོང་ངོ་༎
 येन पद्मोत्तमस्य तथागतस्य बुद्धक्षेत्रं तेनोपसंक्रान्तः ।	དེ་བཞིན་གཤེགས་པ་པདམ་དམ་པའི་སངས་རྒྱས་ཀྱི་ཞིང་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས་།
 उपसंक्रम्य भगवतः पादौ शिरसा वन्दित्वा पुरस्तात्प्राञ्जलीभूत्वोत्तम् - लभेयमहं	བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་བཙལ་ཏེ་སྤྱན་སྔར་ཐལ་མོ་སྦྱར་ནས་། བཅོམ་ལྡན་འདས་།
 भगवन् पद्मोत्तम षडक्षरीं महाविद्यां राज्ञीं यस्या नामानुस्मरणमात्रेण सर्वपापानि क्षयन्ते,	ཡི་གེ་དྲུག་པའི་རིག་སྔགས་ཆེན་མོ་དེའི་མིང་གི་རྗེས་སུ་དྲན་པ་ཙམ་གྱིས་སྡིག་པ་ཐམས་ཅད་བྱང་བར་འགྱུར་བ་།
 दुर्लभां बोधिं प्रतिलभते,	བྱང་ཆུབ་སེམས་དཔའ་རྙེད་པར་དཀའ་བ་ཐོབ་པར་འགྱུར་བ་ཐོབ་པར་འཚལ་ལོ་༎
 येनार्थेनाहं क्लिष्टो ऽनेकानि लोकधातूनि । इहैवागत्वा मा व्यर्थश्रमो भवेयम् ।	དེའི་སླད་དུ་བདག་འཇིག་རྟེན་གྱི་ཁམས་ཉོན་མོངས་པ་ཅན་དུ་མར་ཕྱིན་ཏེ་འདིར་མཆིས་ཀྱང་དོན་མ་མཆིས་པའི་ཚེགས་སུ་གྱུར་ཏོ་༎
 तदा पद्मोत्तमस्तथागत इमां षडक्षरीं महाविद्यागुणां संस्मारयति स्म - तद्यथापि नाम कुलपुत्र शक्यते परमाणुरजःप्रमाणमुद्गृहीतुम्,	དེ་ནས་དེ་བཞིན་གཤེགས་པ་པདམའི་མཆོག་ཡི་གེ་དྲུག་པའི་རིག་སྔགས་ཆེན་མོ་འདིའི་ཡོན་ཏན་༄༣༦༣བ་བསྔགས་པ་གསུང་བ་། རིགས་ཀྱི་བུ་། འདི་ལྟ་སྟེ་། དཔེར་ན་།
 न तु कुलपुत्र शक्यते षडक्षरिमहाविद्याया एकजापस्य पुण्यस्कन्धं गणयितुम् ।	ངས་རྡུལ་ཕྲ་རབ་ཀྱི་ཚད་ནི་གཟུང་ནུས་ཀྱི་། རིགས་ཀྱི་བུ་། ཡི་གེ་དྲུག་པའི་རིག་སྔགས་ཆེན་མོ་ལན་གཅིག་ཟློས་པའི་བསོད་ནམས་ཀྱི་ཕུང་པོ་ནི་བགྲང་མི་ནུས་སོ་༎ 
 शक्यते मया कुलपुत्र चतुःसमुद्रस्यैकैकां वालुकां गणयितुम्,	རིགས་ཀྱི་བུ་། རྒྱ་མཚོ་མཆིང་རྣམ་གྱི་བྱེ་མ་ནི་རེ་རེ་ནས་བགྲང་ནུས་ཀྱི་།
 न तु कुलपुत्र शक्यते मया षडक्षरिमहाविद्याया एकजापस्य पुण्यस्कन्धं गणयितुम् ।	རིགས་ཀྱི་བུ་། ཡི་གེ་དྲུག་པའི་རིག་སྔགས་ཆེན་མོ་ལན་གཅིག་ཟློས་པའི་བསོད་ནམས་ཀྱི་ཕུང་པོ་ནི་བགྲང་མི་ནུས་སོ་༎ རིགས་ཀྱི་བུ་།
 तद्यथापि नाम कुलपुत्र कश्चिदेव पुरुषो भवेत् ।	འདི་ལྟ་སྟེ་། དཔེར་ན་། སྐྱེས་བུ་ལ་ལ་ཞིག་གིས་ཁྱིམ་དཔག་ཚད་བརྒྱ་ཐམ་པར་བྱས་ཏེ་།
 स गृहं पूर्णं योजनसहस्रं कुर्यात् द्विगुणं पञ्चयोजनशतानि ।	འཕང་དུ་དཔག་ཚད་ལྔ་བརྒྱར་བྱས་ལ་།
 तं तिलफलैः परिपूर्णं कुर्यात् ।	དེ་ཏིལ་གྱི་འབྲས་བུས་ཡོངས་སུ་གང་བར་བྱེད་དེ་།
 यत्र सूचीविवरं न संविद्यते,	དེ་ན་ཁབ་ཙམ་གྱི་བུ་གའང་མེད་ལ་།
 तत्र पुरुषो द्वारे स्थापितो ऽजरामरः ।	དེའི་སྒོར་སྐྱེས་བུ་མི་རྒ་མི་འཆི་བ་ཞིག་བཞག་སྟེ་།
 स कल्पशतस्यातिक्रान्तस्य अस्यैकतिलफलं बहिर्द्वारे प्रक्षिपेत् ।	དེས་བསྐལ་པ་བརྒྱ་འདས་ཤིང་ཏིལ་གྱི་འབྲས་བུ་གཅིག་ཕྱིར་འདོར་ཏེ་།
 तदनेन पर्यायेण तं गृहसमूहप्रतिष्ठितास्तिलाः परिक्षयपर्यवदानं यावत्कालेन व्रजेयुः, तच्छक्यते मया गणयितुम् ।	རྣམ་གྲངས་དེས་ཁྱིམ་གྱི་རྨང་དང་གཞི་ཡན་ཆད་ཟད་ཅིང་མེད་པར་འགྱུར་གྱི་།
